1153,place saint christoly,sans
1150,bassin a flot n°1 quai armand lalande,sans
1145,quai lawtonrue lucien faure,sans
1140,cours saint louis,avec
1102,"rue jacques ellul, place andre meunier",sans
1101,"rues blanqui, rue des etrangers et rue achard",sans
1101,rue du jardin public,sans
1100,tour cristal,sans
1084,allee jean giono,sans
1073,cours georges clemenceau,sans
1071,hangar 18,sans
1069,rue bourbon,sans
1066,rue francisco ferrer,sans
1057,rue de tauzia,sans
1050,rue poquelin moliere,avec
1045,rue marcel pagnol et rue bourbon,sans
1042,rue alexander fleming,sans
1041,rue robert lateulade,sans
1023,avenue de tourville,sans
1022,place amélie raba léon,sans
1021,avenue de la republique,sans
1015,"terrasse du gal koenig,rue courpon,",sans
1012,rue du docteur jean vincent,sans
1000,place du cardinal donnet,sans
1000,"place de langalerie, 51 rue notre dame",sans
1000,esplanade des quinconces,sans
995,place jean jaures cours du chapeau rouge,sans
990,rue notre dame,sans
988,rue dom devienne,sans
985,cours de l intendance,sans
982,quai deschamps,sans
981,rue mouneyra,sans
980,a 9 rue de bel orme,sans
980,78 cours balguerie stuttenberg,sans
972,rue lecocq,sans
968,rue joseph abria,sans
967,rue docteur albert barraud,sans
966,rue de la merci,sans
954,cours aristide briand,sans
953,rue paul broca,sans
940,place pierre renaudel,sans
927,rue de marseille,sans
923,rue pierre baour,sans
912,rue du parlement sainte catherine,sans
911,"quai de bacalan, rue lucien faure,",sans
910,cours du maréchal juin,sans
908,rue blanqui,sans
908,rue des freres bonie,sans
902,rue pauline kergomard,sans
902,rue raymond poincare,sans
892,rue de queyries,sans
888,rue du mirail,sans
886,rue cardinal richaud,sans
884,"cours de la marne, cours barbey, rue ferbos",sans
884,avenue du général de larminat,sans
876,19 et 21 rue andre darbon,sans
876,cours edouard vaillant,sans
869,rue mably,sans
866,rue des piliers de tutelle,sans
862,allees de tourny,sans
860,"quai de brienne, rue de louisiane et rue de l'orénoque",sans
859,"quai de brienne, bd jean-jacques bosc et rue de l'orenoque",sans
850,rue des terres de borde,sans
850,bd president wilson-rue ernest renan,sans
848,rue breau,sans
843,"rue saint maur, 15 rue montgolfier",sans
829,rue charles martin,sans
822,rue carle vernet,sans
820,cours de quebec,sans
816,rue amédée saint germain,sans
815,"niveau 9,50",sans
815,cours de verdun,sans
809,place puy paulin,sans
802,rue des trois conils,sans
800,zac saint jean belcier - lot 6.8,sans
800,cours du raccodement et cours louis fargue,sans
799,cours du marechal juin,avec
798,rue des sablieres,sans
792,rue du docteur hoffmann martinot,sans
784,rue fondaudege,sans
784,rue georges bonnac,avec
781,rue de begles,avec
780,place victor raulin / 2bis rue achard,sans
779,place saint pierre,sans
776,avenue de la république,sans
774,square jean vauthier,sans
771,avenue d'ares,sans
766,rue esprit des lois,sans
765,rue leyteire,sans
762,"allee jean giono, rue gustave carde",sans
755,rue des ateliers,avec
754,place andré meunier,sans
750,rue domion,sans
745,rue des augustins,sans
743,rue marcel sembat,sans
