avec_hebergement;nom_etablissement;propriete_ville;categorie;type;adresse_1;adresse_2;code_postal;commune;canton;effectif_personnel;nb_visiteurs_max;geometrie
0;A.P.A.J.H.:LOCAUX ADMINISTRATIFS;0;5.0;W;301-305 BOULEVARD DU PRESIDENT WILSON;;33000;BORDEAUX;07 08 Caudéran;6;10;
0;A.P.A.JA.H -  POLE NEURODEVELOPPEMENTAL;0;5.0;W;305 boulevard du Président Wilson;;33000;BORDEAUX;;7;6;
0;A.R.E.S.C.J.:SIEGE DE L'ASSOCIATION;0;5.0;W;67 RUE SAINT SERNIN;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;9;10;44.841401,-0.582688
0;ABC GRAVURE;0;5.0;M;;;33000;BORDEAUX;;0;0;44.862132,-0.587876
0;ACADEMIE DE BILLARD;0;5.0;P;173 RUE GEORGES BONNAC;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;0;99;44.838688,-0.589533
0;ACADEMIE SPA;0;5.0;R;161 RUE GUILLAUME LEBLANC;;33000;BORDEAUX;10 St Bruno St Victor Mériadeck;15;110;44.831216,-0.596434
0;ACANTHUS DECO;0;5.0;M;289 Cours de la Somme;;33000;BORDEAUX;12 Nansouty St Genés Simiot Barrière de Toulouse;2;16;44.853685,-0.571033
0;ACCASTILLAGE DIFFUSION;0;5.0;M;rue Suffren;;33300;BORDEAUX;;44;5;44.875813,-0.555705
0;ACCESS IMAGES;0;5.0;M;19 rue nancel Pénard;;33000;BORDEAUX;;0;28;44.839866,-0.581288
0;ADAP COMPLETS TRANSMIS DDTM;0;;;;;33000;BORDEAUX;;0;0;44.862132,-0.587876
N;ADECCO PME BTP;N;5.0;W;12 rue du Professeur JEANNENEY;;33000;BORDEAUX;;3;10;44.846657,-0.579029
0;ADONIS BORDEAUX GIRONDE EX FORMASUP;0;5.0;R;44 allées de tourny;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;2;45;44.844259,-0.576987
0;ADV CONCEPT;0;5.0;M;5 bis rue esprit des lois;;33000;BORDEAUX;;2;8;44.843271,-0.571617
0;AFEC;0;5.0;R;8 RUE DU PROFESSEUR ANDRE LAVIGNOLLE;;33300;BORDEAUX;;69;78;44.883805,-0.568467
0;AFPA PÔLE BOIS;0;5.0;R;57, rue Deveaux;;33200;BORDEAUX;;4;56;44.845943,-0.62295
0;AFRAVIH 2018;0;;;;;33000;BORDEAUX;;0;0;44.862132,-0.587876
0;AFTER DNCO;0;5.0;P;10 quai de Brienne;;33800;BORDEAUX;;2;100;44.823013,-0.543214
0;AGENCE  DE LA POSTE . BATIMENT NEUF;0;5.0;W;9-13 RUE DU TEMPS PASSE;;33000;BORDEAUX;06 St Seurin Fondaudège;0;19;44.850926,-0.586395
0;AGENCE ADECCO;0;5.0;W;45 cours du Médoc;;33000;BORDEAUX;;8;7;44.848296,-0.575593
0;AGENCE AG2R LA MONDIALE ENGHIEN;0;5.0;W;1 rue d'Enghien;;33000;BORDEAUX;;6;8;44.845854,-0.576066
0;AGENCE ARGUS IMMOBILIER;0;5.0;W;14 place Gambetta;;33000;BORDEAUX;;3;7;44.840713,-0.579911
0;AGENCE BANCAIRE BNP PARIBAS;0;5.0;W;18, PLACE AMELIE RABA LEON;;33000;BORDEAUX;09 St Augustin Quintin Loucheur Tondu;5;18;44.830506,-0.603671
0;AGENCE BANCAIRE BNP PARIBAS;0;5.0;W;33-35 COURS VICTOR HUGO;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;0;19;44.835827,-0.567911
0;AU RENCONTRE NATIONALE DE LA TORREFACTION DU 28 AU 29 SEPTEMBRE 2014;0;1.0;L;rue Jean Gabriel Domergue;;33300;BORDEAUX;;37;6141;44.872645,-0.571176
0;AGENCE BANCAIRE BNP PARIBAS;0;5.0;W;67 RUE SAINTE CATHERINE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;2;8;44.839596,-0.574191
0;BAR LE SHERLOCK HOLMES;0;5.0;N;16-18 RUE JUDAIQUE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;5;150;44.841536,-0.581887
0;AGENCE BANCAIRE BNP PARIBAS BARRIERE DE TOULOUSE;0;5.0;W;201 BDL FRANKLIN ROOSEVELT;;33000;BORDEAUX;12 Nansouty St Genés Simiot Barrière de Toulouse;4;8;44.842286,-0.578234
0;DISCOTHEQUE LA RHUMERIE;0;4.0;P;72-73 QUAI DE PALUDATE;;33800;BORDEAUX;13 St Jean Belcier Carle Vernet Albert 1er Sacré C;5;233;44.827079,-0.550719
0;AGENCE BANCAIRE CIC SUD-OUEST;0;5.0;W;17 rue Blanqui - ilot B3-4;;33000;BORDEAUX;;5;15;44.832867,-0.579219
0;MAGASIN C&A FRANCE;0;2.0;M;63 rue ST CATHERINE;;33000;BORDEAUX;;20;704;44.839735,-0.574214
N;AGENCE BANCAIRE CREDIT MUTUEL;N;5.0;W;61 COURS DE L'INTENDANCE;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;15;30;44.841882,-0.579048
0;MAGASIN CITADIUM;0;3.0;M;25 rue Sainte Catherine;;33000;BORDEAUX;;20;332;44.840819,-0.574391
0;AGENCE BANCAIRE CREDIT MUTUEL;0;5.0;W;6 RUE DE L'EGLISE;;33200;BORDEAUX;07 08 Caudéran;7;14;44.851797,-0.614225
0;MAGASIN EPHEMERE;0;5.0;M;10 rue de la Porte Dijeaux, rue Margaux;rue Guiraude;33000;BORDEAUX;;2;34;44.841038,-0.575
0;AGENCE BANCAIRE CREDIT MUTUEL BASTIDE;0;5.0;W;64 AVENUE THIERS;;33100;BORDEAUX;04 la Bastide;9;17;44.842973,-0.55582
0;RESTAURANT BURGER KING (EX QUICK);0;5.0;N;16 RUE MONTESQUIEU;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;20;199;44.842083,-0.579018
0;AGENCE BANCAIRE DU CIC;0;5.0;W;230-232 RUE DE PESSAC;;33000;BORDEAUX;12 Nansouty St Genés Simiot Barrière de Toulouse;4;14;44.825345,-0.588929
0;RESTAURANT JAPONAIS EX LE FLASH BACK;0;5.0;N;48 RUE DU PALAIS GALLIEN;;33000;BORDEAUX;05 Hotel de Ville et Quinconces;0;0;44.843321,-0.581461
0;AGENCE BANCAIRE DU CIC EGLISE DE CAUDERAN;0;5.0;W;3 RUE DE L'EGLISE;;33200;BORDEAUX;07 08 Caudéran;4;8;44.851995,-0.614244
0;RESTAURANT LOFT 33;0;5.0;N;51 rue  LUCIEN FAURE;;33000;BORDEAUX;;5;193;44.834983,-0.566498
